Model,T1 tpr,T1 fpr,T2 tpr,T2 fpr,T3 tpr,T3 fpr,Train MSE,Train Rsq,Test MSE,Test Rsq,Model Size,Run Time
Forward select,NaN,0.02,0,0,0,0,3.316,0.025,3.445,-0.039,1,1.177
Iform weak(2),NaN,0.028,0,0,0,0,3.007,0.115,3.181,0.04,2.27,5.84
Iform strong(2),NaN,0.021,0,0,0,0,3.294,0.031,3.429,-0.034,1.08,2.081
Forward select (2),NaN,0,0,0,0,0,1.117,0.669,1.17,0.644,4.01,26.396
Forward,,,,,,,,,,,,
Select(3),NaN,0,0,0,0,0,1.005,0.703,1.081,0.671,4.62,530.36
Iform weak(3),NaN,0.025,0,0,0,0,3.043,0.106,3.209,0.032,1.86,9.461
Iform strong(3),NaN,0.021,0,0,0,0,3.294,0.031,3.429,-0.034,1.08,2.265
glinternet,NaN,0.571,1,0.017,0,0,1.002,0.699,1.445,0.561,27.53,145.08
hierNet,NaN,0.853,1,0.045,0,0,0.672,0.802,1.758,0.467,92.52,4.491
Oracle,NA,NA,NA,NA,NA,NA,0.968,0.713,1.022,0.689,5,NA
