Coefficient,Estimate,SE,T-value,P-value
(Intercept),0.18285,0.07613,2.402,0.0174 *  
AATTC_nn_np_2517_a                     ,0.40013,0.06509,6.147,5.13e-09 ***
AATTC_nn_np_2815_a                     ,0.15792,0.06837,2.31,0.0221 *  
CATG_nn_np_3479_a                      ,0.23433,0.05285,4.434,1.63e-05 ***
CATG_nn_np_1284_a                      ,0.222,0.05313,4.179,4.61e-05 ***
AATTC_nn_np_2815_a×AATTC_lm_ll_3034_a  ,0.45783,0.09244,4.953,1.71e-06 ***
